age,male,part_time,area_of_birth,area_of_work,wage,job_tenure,firm_age,firm_size,precarious_job,firm_sector,skill_level,categoria,macrogruppo,agr_alim,tess_abbigl,manif_leggera,chim_materiali,metalmeccanica,util_trasporti,serv_avanzati
32,1,0,5,5,350,0,11,2,1,37,2,Gestione delle reti fognarie,Utilities e Trasporti,0,0,0,0,0,1,0
25,1,0,4,4,350,1,25,1,0,50,2,Trasporto marittimo,Utilities e Trasporti,0,0,0,0,0,1,0
43,1,0,6,5,450,4,19,1,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
25,0,1,4,3,400,0,16,3,1,51,2,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
41,0,0,6,1,350,0,6,2,0,85,2,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
31,1,0,5,5,450,1,9,1,0,66,3,Attività ausiliarie dei servizi,Servizi Avanzati,0,0,0,0,0,0,1
28,0,0,2,2,400,2,9,1,0,66,3,Attività ausiliarie dei servizi,Servizi Avanzati,0,0,0,0,0,0,1
53,1,0,1,1,700,5,1,3,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
57,1,0,2,2,350,0,10,1,1,55,2,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
48,1,0,1,1,400,1,24,1,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
41,0,0,4,4,1200,0,9,2,1,75,4,Servizi veterinari,Servizi Avanzati,0,0,0,0,0,0,1
42,0,1,1,1,500,2,39,4,0,55,2,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
47,0,0,3,3,500,5,16,2,0,15,2,Fabbricazione di articoli in pel,Tessile e Abbigliamento,0,1,0,0,0,0,0
32,1,0,6,1,400,0,0,2,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
38,1,0,1,1,500,1,7,2,0,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
55,0,1,5,5,1100,5,70,3,0,65,3,Assicurazione e fondi pensione,Servizi Avanzati,0,0,0,0,0,0,1
54,0,1,2,2,300,0,10,1,0,70,2,Attività di direzione aziendale,Servizi Avanzati,0,0,0,0,0,0,1
29,1,1,2,2,400,0,0,1,1,55,2,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
38,0,0,3,3,400,1,9,1,0,72,3,Ricerca scientifica e sviluppo,Servizi Avanzati,0,0,0,0,0,0,1
56,0,0,3,1,450,3,10,2,0,17,2,Fabbricazione di carta,Manifatturiera Leggera,0,0,1,0,0,0,0
25,0,0,2,2,350,1,21,1,0,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
52,0,0,4,4,450,2,14,1,0,52,2,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
23,1,0,1,1,500,1,10,1,0,26,2,Fabbricazione di computer e prod,Metalmeccanica,0,0,0,0,1,0,0
46,0,0,4,3,350,1,14,4,1,80,3,Servizi di vigilanza e investiga,Servizi Avanzati,0,0,0,0,0,0,1
57,1,0,6,2,400,3,31,1,0,20,2,Fabbricazione prodotti chimici,Chimica e Materiali,0,0,0,1,0,0,0
54,1,0,3,3,850,2,50,4,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
35,1,0,6,2,350,1,31,1,0,26,2,Fabbricazione di computer e prod,Metalmeccanica,0,0,0,0,1,0,0
56,0,0,4,3,400,1,14,4,1,80,3,Servizi di vigilanza e investiga,Servizi Avanzati,0,0,0,0,0,0,1
46,0,0,2,2,800,4,13,3,0,72,3,Ricerca scientifica e sviluppo,Servizi Avanzati,0,0,0,0,0,0,1
45,1,0,5,5,300,1,7,2,0,85,2,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
27,0,0,1,1,600,1,39,2,0,91,3,"Attività di biblioteche, musei",Servizi Avanzati,0,0,0,0,0,0,1
36,1,0,4,4,500,0,3,1,0,50,3,Trasporto marittimo,Utilities e Trasporti,0,0,0,0,0,1,0
51,1,0,6,3,250,1,36,1,0,36,2,"Raccolta, trattamento e fornitur",Utilities e Trasporti,0,0,0,0,0,1,0
30,0,0,3,3,450,1,21,2,0,31,3,Fabbricazione di mobili,Manifatturiera Leggera,0,0,1,0,0,0,0
30,1,0,2,2,350,1,34,2,0,85,3,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
48,1,0,4,4,400,2,14,4,0,80,3,Servizi di vigilanza e investiga,Servizi Avanzati,0,0,0,0,0,0,1
40,1,0,5,5,900,1,15,3,0,35,3,Fornitura di acqua,Utilities e Trasporti,0,0,0,0,0,1,0
44,1,0,4,4,600,4,30,4,0,29,2,Fabbricazione di autoveicoli,Metalmeccanica,0,0,0,0,1,0,0
44,0,1,6,4,350,1,1,2,0,17,2,Fabbricazione di carta,Manifatturiera Leggera,0,0,1,0,0,0,0
25,0,0,1,1,450,0,24,2,1,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
30,1,0,3,3,500,0,12,4,1,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
43,0,0,6,3,450,0,2,1,1,51,3,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
39,0,0,4,4,850,4,7,4,0,65,3,Assicurazione e fondi pensione,Servizi Avanzati,0,0,0,0,0,0,1
26,1,0,2,2,400,1,4,1,0,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
49,0,0,2,2,650,2,22,1,0,15,2,Fabbricazione di articoli in pel,Tessile e Abbigliamento,0,1,0,0,0,0,0
47,0,0,1,1,550,1,3,1,0,72,3,Ricerca scientifica e sviluppo,Servizi Avanzati,0,0,0,0,0,0,1
57,1,0,6,1,500,0,9,4,1,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
37,1,0,1,1,600,1,48,3,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
49,1,0,1,1,350,1,17,1,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
41,0,1,4,4,500,2,7,4,0,51,3,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
38,1,0,6,1,350,0,1,2,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
30,1,0,6,2,400,1,9,1,0,20,2,Fabbricazione prodotti chimici,Chimica e Materiali,0,0,0,1,0,0,0
39,0,1,1,1,550,2,44,4,0,51,3,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
32,1,0,5,5,700,1,10,3,0,63,3,Attività dei servizi di informa,Servizi Avanzati,0,0,0,0,0,0,1
52,1,0,4,4,900,5,46,4,0,65,4,Assicurazione e fondi pensione,Servizi Avanzati,0,0,0,0,0,0,1
37,0,1,2,2,400,4,24,1,0,85,3,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
37,1,0,2,2,550,0,36,2,1,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
33,1,0,3,3,350,1,0,2,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
40,1,0,2,2,650,2,13,4,0,29,2,Fabbricazione di autoveicoli,Metalmeccanica,0,0,0,0,1,0,0
33,0,0,2,2,1250,2,30,3,0,26,3,Fabbricazione di computer e prod,Metalmeccanica,0,0,0,0,1,0,0
27,1,0,4,4,650,1,46,3,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
46,1,0,3,3,650,1,8,3,0,72,3,Ricerca scientifica e sviluppo,Servizi Avanzati,0,0,0,0,0,0,1
35,0,0,5,4,700,1,2,4,0,66,3,Attività ausiliarie dei servizi,Servizi Avanzati,0,0,0,0,0,0,1
26,1,1,6,4,250,1,2,2,0,55,2,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
52,1,0,6,2,350,0,23,1,1,18,2,Stampa e produzione di supporti,Manifatturiera Leggera,0,0,1,0,0,0,0
30,1,0,2,2,650,2,36,4,0,65,3,Assicurazione e fondi pensione,Servizi Avanzati,0,0,0,0,0,0,1
27,0,0,3,3,400,1,20,1,1,51,2,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
26,1,0,4,4,250,1,39,4,0,34,2,"Fornitura di energia elettrica,",Utilities e Trasporti,0,0,0,0,0,1,0
50,0,0,2,2,450,0,34,1,1,55,2,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
45,1,0,6,1,450,1,6,2,0,29,2,Fabbricazione di autoveicoli,Metalmeccanica,0,0,0,0,1,0,0
46,0,0,2,2,400,2,34,2,0,36,2,"Raccolta, trattamento e fornitur",Utilities e Trasporti,0,0,0,0,0,1,0
46,1,0,1,1,700,1,10,4,1,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
32,1,0,6,2,500,2,37,1,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
31,0,0,1,1,550,1,20,3,0,15,3,Fabbricazione di articoli in pel,Tessile e Abbigliamento,0,1,0,0,0,0,0
50,1,0,1,1,500,1,36,3,0,15,2,Fabbricazione di articoli in pel,Tessile e Abbigliamento,0,1,0,0,0,0,0
29,0,0,1,1,650,1,3,4,0,66,3,Attività ausiliarie dei servizi,Servizi Avanzati,0,0,0,0,0,0,1
50,1,0,2,2,600,2,1,4,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
38,1,0,6,2,350,1,6,1,0,28,3,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
35,1,0,6,1,300,1,12,1,0,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
42,1,0,6,1,250,1,2,1,0,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
50,1,0,2,2,450,1,39,4,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
43,1,0,3,3,1150,2,37,4,0,74,4,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
43,0,1,6,1,350,0,3,2,0,55,2,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
22,0,1,6,1,350,0,29,3,0,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
35,1,0,1,1,450,1,9,2,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
35,1,0,4,4,350,2,14,1,0,85,3,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
53,0,0,1,1,450,5,39,1,0,17,3,Fabbricazione di carta,Manifatturiera Leggera,0,0,1,0,0,0,0
46,1,0,6,1,500,1,25,2,1,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
28,0,0,4,4,350,0,8,1,1,55,3,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
39,1,0,3,3,650,1,20,1,0,50,3,Trasporto marittimo,Utilities e Trasporti,0,0,0,0,0,1,0
25,1,1,1,1,350,0,30,1,0,15,2,Fabbricazione di articoli in pel,Tessile e Abbigliamento,0,1,0,0,0,0,0
42,1,0,2,2,650,1,23,2,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
39,1,0,4,4,450,3,24,1,0,33,2,"Riparazione, manutenzione ed ins",Metalmeccanica,0,0,0,0,1,0,0
48,0,0,4,2,550,0,19,1,0,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
31,1,0,3,4,600,1,6,2,0,90,3,"Attività creative, artistiche",Servizi Avanzati,0,0,0,0,0,0,1
58,0,0,6,4,350,1,11,1,0,51,2,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
25,1,0,4,4,1150,0,4,2,1,45,3,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
35,1,0,4,4,300,1,5,1,0,50,2,Trasporto marittimo,Utilities e Trasporti,0,0,0,0,0,1,0
38,0,0,3,3,450,2,14,4,1,80,3,Servizi di vigilanza e investiga,Servizi Avanzati,0,0,0,0,0,0,1
23,1,0,5,5,300,0,5,1,1,35,2,Fornitura di acqua,Utilities e Trasporti,0,0,0,0,0,1,0
32,0,1,6,2,350,2,21,2,0,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
50,0,0,3,3,750,2,11,1,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
32,1,1,5,3,400,1,2,1,0,72,3,Ricerca scientifica e sviluppo,Servizi Avanzati,0,0,0,0,0,0,1
39,1,0,6,3,450,1,30,2,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
38,0,0,5,5,400,0,20,1,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
30,1,0,4,2,450,0,9,3,1,29,2,Fabbricazione di autoveicoli,Metalmeccanica,0,0,0,0,1,0,0
52,1,0,6,2,300,1,32,1,0,25,2,Fabbricazione di prodotti in met,Metalmeccanica,0,0,0,0,1,0,0
29,1,1,3,3,700,0,9,3,1,63,2,Attività dei servizi di informa,Servizi Avanzati,0,0,0,0,0,0,1
58,1,0,6,2,450,0,36,3,1,92,2,Attività giochi azzardo,Servizi Avanzati,0,0,0,0,0,0,1
48,1,0,5,5,550,3,45,4,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
39,0,1,1,1,400,2,36,1,0,50,3,Trasporto marittimo,Utilities e Trasporti,0,0,0,0,0,1,0
37,1,0,6,1,250,1,15,1,0,51,2,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
31,1,0,1,1,800,0,0,3,0,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
51,1,0,5,1,600,5,26,2,0,17,2,Fabbricazione di carta,Manifatturiera Leggera,0,0,1,0,0,0,0
49,1,0,5,5,400,0,12,2,1,31,2,Fabbricazione di mobili,Manifatturiera Leggera,0,0,1,0,0,0,0
30,0,1,6,2,400,0,1,1,0,55,2,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
20,1,1,2,2,400,0,0,1,0,52,1,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
52,0,0,4,4,750,2,62,1,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
46,0,0,1,1,700,3,38,4,0,85,3,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
43,1,0,4,1,500,0,11,4,1,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
26,1,0,2,2,550,1,28,3,0,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
43,1,0,5,5,450,2,21,1,0,72,3,Ricerca scientifica e sviluppo,Servizi Avanzati,0,0,0,0,0,0,1
30,1,0,6,1,450,1,3,1,0,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
33,0,0,2,2,400,0,19,1,0,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
54,0,0,6,2,500,1,13,4,1,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
40,1,0,2,2,550,2,11,1,0,80,3,Servizi di vigilanza e investiga,Servizi Avanzati,0,0,0,0,0,0,1
41,1,0,4,4,300,3,22,1,0,63,2,Attività dei servizi di informa,Servizi Avanzati,0,0,0,0,0,0,1
42,1,0,6,2,400,1,9,2,0,93,2,Attività sportive,Servizi Avanzati,0,0,0,0,0,0,1
30,1,0,5,5,550,2,72,2,0,25,2,Fabbricazione di prodotti in met,Metalmeccanica,0,0,0,0,1,0,0
38,1,0,3,3,400,1,30,4,0,27,2,Fabbricazioni di apparecchiature,Metalmeccanica,0,0,0,0,1,0,0
55,1,0,1,1,550,5,44,2,0,52,2,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
31,0,0,5,5,600,1,17,4,0,65,1,Assicurazione e fondi pensione,Servizi Avanzati,0,0,0,0,0,0,1
56,1,0,1,1,1100,5,41,4,0,63,4,Attività dei servizi di informa,Servizi Avanzati,0,0,0,0,0,0,1
47,1,1,6,1,300,0,4,3,1,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
24,0,0,5,5,400,1,1,4,0,72,3,Ricerca scientifica e sviluppo,Servizi Avanzati,0,0,0,0,0,0,1
42,0,1,3,3,600,4,25,3,0,50,3,Trasporto marittimo,Utilities e Trasporti,0,0,0,0,0,1,0
40,1,0,6,4,700,3,13,3,0,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
32,1,0,4,4,350,2,17,1,0,51,3,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
22,1,1,3,3,300,1,2,2,0,63,2,Attività dei servizi di informa,Servizi Avanzati,0,0,0,0,0,0,1
24,1,0,4,4,400,0,1,2,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
50,1,0,6,3,650,3,9,3,0,31,3,Fabbricazione di mobili,Manifatturiera Leggera,0,0,1,0,0,0,0
37,1,1,6,2,350,0,4,2,0,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
47,1,0,2,2,900,5,29,2,0,28,3,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
35,1,0,5,5,800,1,28,3,0,28,3,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
54,1,0,4,3,300,1,4,1,0,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
23,0,0,2,2,400,0,1,1,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
21,1,0,2,2,300,0,20,2,0,55,1,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
28,1,1,4,2,450,0,4,1,1,92,2,Attività giochi azzardo,Servizi Avanzati,0,0,0,0,0,0,1
60,0,0,2,2,300,2,7,2,0,80,3,Servizi di vigilanza e investiga,Servizi Avanzati,0,0,0,0,0,0,1
34,1,0,6,2,350,0,1,2,1,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
57,1,0,2,2,700,3,30,2,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
47,1,0,4,3,500,1,12,1,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
39,1,0,4,4,350,0,0,2,0,52,2,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
32,0,0,1,1,600,1,9,1,0,15,3,Fabbricazione di articoli in pel,Tessile e Abbigliamento,0,1,0,0,0,0,0
38,0,0,1,2,550,2,12,1,0,51,3,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
39,1,0,4,4,400,1,1,1,0,92,3,Attività giochi azzardo,Servizi Avanzati,0,0,0,0,0,0,1
50,1,0,6,2,450,0,9,4,1,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
34,0,0,2,2,450,1,39,2,0,31,2,Fabbricazione di mobili,Manifatturiera Leggera,0,0,1,0,0,0,0
25,1,1,6,1,450,1,10,4,1,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
41,1,0,1,1,650,1,6,2,0,71,3,Attività studi architettura e i,Servizi Avanzati,0,0,0,0,0,0,1
36,0,0,1,1,500,4,9,2,0,36,2,"Raccolta, trattamento e fornitur",Utilities e Trasporti,0,0,0,0,0,1,0
30,0,0,6,1,300,2,10,1,0,35,2,Fornitura di acqua,Utilities e Trasporti,0,0,0,0,0,1,0
25,1,0,3,3,450,1,5,1,0,52,2,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
54,1,0,1,1,700,5,6,3,0,29,3,Fabbricazione di autoveicoli,Metalmeccanica,0,0,0,0,1,0,0
54,0,1,4,2,400,1,6,1,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
45,1,0,4,4,350,2,14,4,1,80,3,Servizi di vigilanza e investiga,Servizi Avanzati,0,0,0,0,0,0,1
33,1,0,6,1,300,0,9,2,0,28,2,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
46,0,0,4,1,550,2,44,4,0,85,3,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
25,0,1,2,2,350,0,12,2,1,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
43,0,1,3,3,400,2,27,3,0,85,2,Istruzione,Servizi Avanzati,0,0,0,0,0,0,1
31,0,0,1,1,750,1,5,1,0,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
39,0,0,1,1,600,4,18,1,0,93,3,Attività sportive,Servizi Avanzati,0,0,0,0,0,0,1
24,1,0,4,1,450,1,13,2,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
40,0,0,1,2,200,4,14,3,0,29,2,Fabbricazione di autoveicoli,Metalmeccanica,0,0,0,0,1,0,0
51,0,0,1,1,950,4,31,3,0,24,4,Metallurgia,Metalmeccanica,0,0,0,0,1,0,0
22,1,0,1,1,550,1,36,2,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
29,0,1,3,3,650,2,5,2,0,52,3,Magazzinaggio e attività suppor,Utilities e Trasporti,0,0,0,0,0,1,0
23,0,0,2,2,400,0,35,1,1,55,2,Alloggio,Utilities e Trasporti,0,0,0,0,0,1,0
33,1,0,6,3,200,0,1,2,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
39,1,0,4,4,500,1,5,1,0,74,3,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
53,1,0,3,3,350,1,25,1,0,26,2,Fabbricazione di computer e prod,Metalmeccanica,0,0,0,0,1,0,0
26,1,0,3,3,300,1,1,2,0,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
53,1,0,2,2,650,1,60,4,0,64,3,Attività di servizi finanziari,Servizi Avanzati,0,0,0,0,0,0,1
50,1,0,2,2,500,2,15,1,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
43,1,0,1,1,350,4,33,1,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
50,1,0,4,1,600,2,50,4,0,60,2,Attività di programmazione e tr,Servizi Avanzati,0,0,0,0,0,0,1
27,1,0,6,1,500,0,1,1,0,45,1,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
26,1,0,3,5,450,0,1,1,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
25,1,0,1,1,550,0,11,2,1,28,3,Fabbricazione di macchinari,Metalmeccanica,0,0,0,0,1,0,0
30,1,0,5,1,400,1,9,2,1,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
37,1,0,3,3,600,2,12,1,0,51,3,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
46,1,0,1,1,1450,3,34,1,0,51,4,Trasporto aereo,Utilities e Trasporti,0,0,0,0,0,1,0
39,1,0,3,3,1050,1,42,3,0,25,4,Fabbricazione di prodotti in met,Metalmeccanica,0,0,0,0,1,0,0
28,1,0,4,4,250,0,3,1,0,45,2,Commercio all'ingrosso e al dett,Utilities e Trasporti,0,0,0,0,0,1,0
54,1,0,4,4,450,5,37,3,0,34,2,"Fornitura di energia elettrica,",Utilities e Trasporti,0,0,0,0,0,1,0
45,1,1,5,5,750,4,13,4,0,62,3,"Produzione di software, consulen",Servizi Avanzati,0,0,0,0,0,0,1
29,1,0,6,4,350,0,1,2,1,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
41,1,0,3,3,750,2,4,1,0,29,2,Fabbricazione di autoveicoli,Metalmeccanica,0,0,0,0,1,0,0
57,1,1,4,4,350,1,7,4,0,74,2,"Altre attività professionali, s",Servizi Avanzati,0,0,0,0,0,0,1
22,0,0,2,2,450,0,34,2,1,15,3,Fabbricazione di articoli in pel,Tessile e Abbigliamento,0,1,0,0,0,0,0
